,0,1,2,3
0,graph,"график, граф, диаграмма",[ɡrɑːf],[ɡræf]
1,disgrace,"позор, немилость, бесчестие",[dɪsˈɡreɪs],[dɪsˈɡreɪs]
2,parent,"родительский, исходный, родитель",[ˈpeərənt],[ˈperənt]
3,skid,заносить,[skɪd],[skɪd]
4,corps,"корпус, служба, род войск",[kɔːr],[kɔːr]
5,immigrant,"иммигрант, переселенец, иммигрантский",[ˈɪm.ɪ.ɡrənt],[ˈɪm.ɪ.ɡrənt]
6,compact,компактный,[kəmˈpækt],[kəmˈpækt]
7,paddle,"весло, лопасть, лопатка",[ˈpæd.l̩],[ˈpæd.l̩]
8,mint,"мята, монетный двор, большая сумма",[mɪnt],[mɪnt]
9,scour,"рыскать, оттирать, чистить",[skaʊər],[skaʊ.ɚ]
10,whereabouts,местонахождение,[ˈweərəbaʊts],[ˈwerəbaʊts]
11,partly,"частично, отчасти, частью",[ˈpɑːtli],[ˈpɑːrtli]
12,pigeon,"голубь, голубок, простак",[ˈpɪdʒ.ən],[ˈpɪdʒ.ən]
13,plank,"планка, доска, обшивная доска или планка",[plæŋk],[plæŋk]
14,extension,"расширение, продление, продолжение",[ɪkˈstenʃn],[ɪkˈstenʃn]
15,imposing,внушительный,[ɪmˈpəʊ.zɪŋ],[-ˈpoʊ-]
16,superb,"превосходный, великолепный, прекрасный, превосходно",[suːˈpɜːb],[-ˈpɝːb]
17,customs,"таможенный, таможенные пошлины, таможня",[ˈkʌstəmz],[ˈkʌstəmz]
18,terrorist,"террорист, террористический",[ˈter.ə.rɪst],[-ɚ.ɪst]
19,banish,изгнать,[ˈbæn.ɪʃ],[ˈbæn.ɪʃ]
20,blade,"лезвие, клинок, диск",[bleɪd],[bleɪd]
21,classroom,"классная комната, аудитория, школьный класс",[ˈklɑːsruːm],[ˈklæsruːm]
22,PC,ПК,[ˈpiːsiː],[ˈpiːsiː]
23,shrimp,креветка,[ʃrɪmp],[ʃrɪmp]
24,loan,ссуда,[ləʊn],[loʊn]
25,fiddle,"скрипка, обман, надувательство",[ˈfɪd.l̩],[ˈfɪd.l̩]
26,oblique,"косой, наклонный, косвенный",[əˈbliːk],[oʊ-]
27,funny,смешной,[ˈfʌni],[ˈfʌni]
28,indicate,"указывать, означать, показывать, указать",[ˈɪndɪkeɪt],[ˈɪndɪkeɪt]
29,dread,"страх, боязнь, опасения",[dred],[dred]
30,trace,"след, отпечаток, черта",[treɪs],[treɪs]
31,folly,"глупость, безумие, безрассудство",[ˈfɒl.i],[ˈfɑː.li]
32,foreman,мастер,[ˈfɔː.mən],[ˈfɔːr-]
33,magazine,журнал,[ˌmæɡəˈziːn],[ˈmæɡəziːn]
34,appointment,"назначение, прием, встреча, деловое свидание, встреча",[əˈpɔɪntmənt],[əˈpɔɪntmənt]
35,fiction,художественная литература,[ˈfɪk.ʃən],[ˈfɪk.ʃən]
36,devour,пожирать,[dɪˈvaʊər],[-ˈvaʊɚ]
37,proposal,предложение,[prəˈpəʊzl],[prəˈpoʊzl]
38,mistake,"ошибка, заблуждение, недоразумение",[mɪˈsteɪk],[mɪˈsteɪk]
